axis,name,cluster,stressor,tissue,context
condition,120_root_FLT_Dark,2,µg,root,dark
condition,120_root_FLT_Light,1,µg,root,light
condition,658_40cGy,1,GCR,whole_seedling,40cGy
condition,658_80cGy,1,GCR,whole_seedling,80cGy
condition,678_leaf_FLT_Dark,3,µg,shoot/leaf,dark
condition,678_leaf_FLT_Light,1,µg,shoot/leaf,light
celltype,Atrichoblast_root,1,-,root,-
celltype,Columella_root,6,-,root,-
celltype,Cortex_hypocotyl_shoot,2,-,hypocotyl,-
celltype,Cortex_root,2,-,root,-
celltype,CotyledonCell_root,3,-,root,-
celltype,DCM_root,4,-,root,-
celltype,DCS_root,4,-,root,-
celltype,E.cotyledon_epidermis_shoot,3,-,shoot,-
celltype,E.hypocotyl_epidermis_shoot,2,-,hypocotyl,-
celltype,Endodermis_root,2,-,root,-
celltype,Endodermis_shoot,2,-,shoot,-
celltype,InitialCell_root,4,-,meristematic,-
celltype,LRC_root,2,-,root,-
celltype,Liew_QC,6,-,meristematic,-
celltype,Liew_cortex,3,-,shoot,-
celltype,Liew_epidermis,2,-,shoot,-
celltype,Liew_mesophyll,3,-,shoot,-
celltype,Liew_precursor_of_cortex_endodermis,2,-,meristematic,-
celltype,Liew_provasculature,6,-,vascular,-
celltype,Liew_root_cap,1,-,root,-
celltype,Liew_stele,6,-,vascular,-
celltype,Liew_xylem,4,-,vascular,-
celltype,Mesophyll_shoot,3,-,shoot,-
celltype,Pericycle_root,5,-,root,-
celltype,Phloem_root,5,-,vascular,-
celltype,Procambium_root,5,-,meristematic,-
celltype,SAM_shoot,6,-,meristematic,-
celltype,Trichoblast_root,1,-,root,-
celltype,Vasculature_shoot,5,-,vascular,-
celltype,Xylem_root,4,-,vascular,-
