condition,celltype_group,singscore,wilcox_fdr,mean_log2fc,n_sig,n_measured,atlas
120_root_FLT_Dark,Atrichoblast_root,0.35794501420386154,3.0778392226242074e-15,1.7516993493145174,42,42,Han2023
120_root_FLT_Dark,Columella_root,-0.06463599595551062,0.1405627377579171,-0.028351358252949387,48,48,Han2023
120_root_FLT_Dark,Cortex_hypocotyl_shoot,0.14879956443960493,5.114321777864706e-05,0.5692467145500798,67,65,Han2023
120_root_FLT_Dark,Cortex_root,0.24663231025147594,4.284478634518216e-11,0.8568149108754286,62,62,Han2023
120_root_FLT_Dark,CotyledonCell_root,0.08511750467261088,0.004928858029338332,0.5264405008389517,100,99,Han2023
120_root_FLT_Dark,DCM_root,-0.2987864035251969,5.533677913923427e-20,-0.5405850097124346,81,81,Han2023
120_root_FLT_Dark,DCS_root,-0.043371633422189526,0.618210015514253,0.12614362505160834,11,11,Han2023
120_root_FLT_Dark,E.cotyledon_epidermis_shoot,0.13532187394674758,2.0762970168022723e-05,0.9136255820757636,100,87,Han2023
120_root_FLT_Dark,E.hypocotyl_epidermis_shoot,0.14888992399541015,2.2906969964056263e-06,0.6655175956688366,100,89,Han2023
120_root_FLT_Dark,Endodermis_root,0.0809092012133468,0.00696954987328008,0.33209446578336765,100,100,Han2023
120_root_FLT_Dark,Endodermis_shoot,0.09195968149646107,0.014068155700445147,0.28872569741112686,66,64,Han2023
120_root_FLT_Dark,InitialCell_root,-0.14693052145023835,0.19678748987211303,-0.17741222997149658,7,7,Han2023
120_root_FLT_Dark,LRC_root,0.1286758341759353,1.518134040746709e-05,0.6716611054480732,100,100,Han2023
120_root_FLT_Dark,Mesophyll_shoot,0.07162173380873824,0.01902185329516453,0.2579158573352306,100,95,Han2023
120_root_FLT_Dark,Pericycle_root,-0.16020835248337778,7.344952485835224e-08,0.016653293615150524,100,99,Han2023
120_root_FLT_Dark,Phloem_root,-0.3008446446262422,1.925924021574642e-24,-0.48605062531447013,100,99,Han2023
120_root_FLT_Dark,Procambium_root,-0.24230535894843275,1.797851008220141e-11,-0.4375499749747994,67,67,Han2023
120_root_FLT_Dark,SAM_shoot,-0.04109302325581394,0.2830882818921167,-0.025658716741723594,60,60,Han2023
120_root_FLT_Dark,Trichoblast_root,0.38931594478033876,1.7258067830468428e-39,2.4675055192318136,100,98,Han2023
120_root_FLT_Dark,Unknown_root,,,,2,2,Han2023
120_root_FLT_Dark,Vasculature_shoot,-0.24901632240358226,4.890965155513203e-17,-0.36478738320963183,100,98,Han2023
120_root_FLT_Dark,Xylem_root,-0.32867664307381195,3.972109327193947e-29,-0.9039445163974145,100,100,Han2023
120_root_FLT_Light,Atrichoblast_root,0.13883865376281956,0.005434426672384386,0.32308086500099215,42,42,Han2023
120_root_FLT_Light,Columella_root,0.05672396359959555,0.2802589527855581,0.12703872110430994,48,48,Han2023
120_root_FLT_Light,Cortex_hypocotyl_shoot,-0.04867076300847786,0.2802589527855581,-0.5714020246975529,67,65,Han2023
120_root_FLT_Light,Cortex_root,-0.07583515444078408,0.07321821735590911,-0.43988879448310625,62,62,Han2023
120_root_FLT_Light,CotyledonCell_root,-0.3038696367108905,1.9233875358310745e-24,-1.5296378044541221,100,99,Han2023
120_root_FLT_Light,DCM_root,-0.13432847744947513,0.0001147278260771113,-0.26297479144070063,81,81,Han2023
120_root_FLT_Light,DCS_root,-0.02753194227410605,0.7893134411819317,-0.08495373839288373,11,11,Han2023
