celltype_group,120_root_FLT_Light,120_root_FLT_Dark,678_leaf_FLT_Light,678_leaf_FLT_Dark,658_40cGy,658_80cGy
Trichoblast_root,0.030581467808895212,1.7258067830468428e-39,0.03181079885801069,1.2635043450411612e-18,6.134857315898599e-07,0.28966251938502063
CotyledonCell_root,1.9233875358310745e-24,0.004928858029338332,2.013256664417009e-32,2.0152897012145828e-38,0.031480013650018235,2.1584293549713395e-05
Atrichoblast_root,0.005434426672384386,3.0778392226242074e-15,0.04631009525379391,7.438665778036454e-09,0.013421022698548649,0.639050882038651
DCM_root,0.0001147278260771113,5.533677913923427e-20,5.902167381469748e-20,0.16621406565422797,4.022477709321718e-21,7.31088383212171e-26
InitialCell_root,0.8461979959094897,0.19678748987211303,0.4618718986419868,0.8244204712293081,0.005207905998321468,0.021926225580404753
Xylem_root,0.5420713632822215,3.972109327193947e-29,1.587225463380638e-13,4.9277774944007434e-08,1.1309147960625728e-11,1.7442859696987278e-05
Vasculature_shoot,4.506622018159058e-08,4.890965155513203e-17,0.4173417802204853,0.003282056864671063,4.591578092380559e-26,4.397626173843223e-07
Phloem_root,8.928414217298753e-05,1.925924021574642e-24,4.88438221993364e-08,0.8631852368108796,9.465594807255673e-18,0.005561036318957873
Endodermis_shoot,0.04687778212885148,0.014068155700445147,1.0121196395253893e-06,4.489101112027854e-16,0.004208040054967651,0.7871102526684584
E.hypocotyl_epidermis_shoot,0.7593490446306427,2.2906969964056263e-06,0.0755612291484824,4.412552960793421e-19,0.5502821937167405,0.0006640071198163346
Endodermis_root,0.07115477095890083,0.00696954987328008,0.00084164228956173,8.08076241017796e-19,0.09172816756135545,0.5896230328525383
Cortex_root,0.07321821735590911,4.284478634518216e-11,2.732936306257724e-06,0.005933881145596276,0.013421022698548649,0.6668816163935397
Procambium_root,5.074718442546808e-05,1.797851008220141e-11,0.7822828970691686,0.0017227198554661217,0.013421022698548649,0.0001247956306257484
Pericycle_root,0.36775211127989893,7.344952485835224e-08,1.1347867526319097e-07,4.232597479876898e-09,4.698888386035553e-16,8.424094298600273e-11
Mesophyll_shoot,0.44921542004873544,0.01902185329516453,9.700286562964065e-16,7.438665778036454e-09,0.7094220656183996,0.00020493117665305923
DCS_root,0.7893134411819317,0.618210015514253,0.03605194478447484,0.5937115511900001,0.38329701751581974,0.07273871270969329
LRC_root,0.0003127798231951334,1.518134040746709e-05,1.4317018347813798e-05,5.681543487593651e-09,0.4863162632566576,0.639050882038651
SAM_shoot,0.34116428276132055,0.2830882818921167,2.005286155244667e-05,0.030769876988813706,0.03232908471201136,0.42553717955736947
Cortex_hypocotyl_shoot,0.2802589527855581,5.114321777864706e-05,0.0023453721774643077,0.001091913219049283,0.1555784987861061,0.3492162562391883
E.cotyledon_epidermis_shoot,0.5624674761927544,2.0762970168022723e-05,0.07797255724390621,0.001741923044409678,0.013421022698548649,0.3492162562391883
Columella_root,0.2802589527855581,0.1405627377579171,0.5728492848992979,0.5585225624878292,0.19716004557186256,0.17522807857116798
