program,atlas,n_panel,n_contrasts,mean_log2fc_median,mean_log2fc_mean,Z_combined,p_combined,fdr_bh,significant_fdr05,sign_concordance_k,sign_concordance_frac,n_neg_contrasts,n_pos_contrasts
vascular_composite,composite,457,6.0,-0.26446136016589816,-0.2371909918113144,-6.233869791273536,4.550513299506065e-10,4.550513299506065e-09,True,6.0,1.0,6.0,0.0
Xylem_root,Han,100,6.0,-0.4025474395400897,-0.5033232426762364,-5.941534754721046,2.823658640238591e-09,1.4118293201192955e-08,True,6.0,1.0,6.0,0.0
Vasculature_shoot,Han,100,6.0,-0.34294950443582084,-0.27684967837899105,-5.119950126310993,3.056164699088981e-07,1.0187215663629938e-06,True,5.0,0.8333333333333334,5.0,1.0
Liew_xylem,Liew,100,6.0,-0.24214406769460856,-0.2817451367463794,-4.705539712288262,2.5319520973177134e-06,6.3298802432942836e-06,True,5.0,0.8333333333333334,5.0,1.0
Procambium_root,Han,67,6.0,-0.21960389030395716,-0.17979154518381643,-3.4971630690779407,0.00047023429625570046,0.0009404685925114009,True,5.0,0.8333333333333334,5.0,1.0
Phloem_root,Han,100,6.0,-0.1129074070805142,-0.04839280604562096,-2.981894542062286,0.0028647065954712225,0.004774510992452038,True,5.0,0.8333333333333334,5.0,1.0
Liew_provasculature,Liew,100,6.0,-0.1119275100942637,-0.03481956376441896,-2.2032354124177593,0.027578160571404053,0.039397372244862935,True,4.0,0.6666666666666666,4.0,2.0
E.hypocotyl_epidermis_shoot,Han,100,6.0,-0.04482188468465468,-0.03881303819795007,-1.1073377477222903,0.26814792981924596,0.33518491227405744,False,4.0,0.6666666666666666,4.0,2.0
hypocotyl_axis_composite,composite,160,6.0,-0.06543868778118461,0.016200029274451095,-0.5058383063778307,0.6129701646531931,0.6810779607257701,False,4.0,0.6666666666666666,4.0,2.0
Cortex_hypocotyl_shoot,Han,67,6.0,-0.03431029430535397,0.10794021219459819,-0.0746279341303587,0.9405107478692729,0.9405107478692729,False,4.0,0.6666666666666666,4.0,2.0
