program,atlas,study,tissue,contrast,contrast_key,n_panel,n_measured,mean_log2fc,perm_p,sign
Cortex_hypocotyl_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,67,65,0.5692467145500798,0.028971028971028972,1
Cortex_hypocotyl_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,67,65,-0.5714020246975529,0.000999000999000999,-1
Cortex_hypocotyl_shoot,Han,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,67,67,-0.016925937441260648,0.4305694305694306,-1
Cortex_hypocotyl_shoot,Han,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,67,67,-0.05169465116944729,0.42657342657342656,-1
Cortex_hypocotyl_shoot,Han,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,67,67,-0.37521456271697434,0.7522477522477522,-1
Cortex_hypocotyl_shoot,Han,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,67,67,1.0936317346427444,0.004995004995004995,1
E.hypocotyl_epidermis_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,100,89,0.6655175956688366,0.002997002997002997,1
E.hypocotyl_epidermis_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,100,89,-0.006924327436909724,0.916083916083916,-1
E.hypocotyl_epidermis_shoot,Han,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,100,98,-0.08271944193239963,0.45454545454545453,-1
E.hypocotyl_epidermis_shoot,Han,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,100,98,-0.09048204322902167,0.06293706293706294,-1
E.hypocotyl_epidermis_shoot,Han,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,100,99,-0.9127878878475189,0.002997002997002997,-1
E.hypocotyl_epidermis_shoot,Han,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,100,99,0.19451787558931288,0.8521478521478522,1
Liew_provasculature,Liew,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,100,98,-0.1302395744931424,0.03496503496503497,-1
Liew_provasculature,Liew,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,100,98,-0.1074606783455531,0.5164835164835165,-1
Liew_provasculature,Liew,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,100,97,-0.3033640557775585,0.000999000999000999,-1
Liew_provasculature,Liew,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,100,97,-0.1163943418429743,0.022977022977022976,-1
