tissue,feature_name,GCR,NMF,µg,pattern
root,ABA_biosynthesis,,no_coverage,activated,µg_only:activated
root,ABA_signaling,,no_coverage,activated,µg_only:activated
root,Auxin_transporters_ABCB,,no_coverage,rewired,none
root,Auxin_transporters_AUX_LAX,,no_coverage,rewired,none
root,Auxin_transporters_PIN,,no_coverage,suppressed,µg_only:suppressed
root,Base excision repair,,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
root,Carbon fixation in photosynthetic organisms,,no_coverage,rewired,none
root,Circadian rhythm - plant,,no_coverage,rewired,none
root,Circadian_core,,no_coverage,rewired,none
root,Diterpenoid biosynthesis (GA biosynthesis),,activated,modestly_activated,"common:µg,NMF"
root,Fanconi anemia pathway,,no_coverage,rewired,none
root,GA_biosynthesis,,modestly_activated,activated,"common:µg,NMF"
root,GA_core_NMF,,activated,rewired,NMF_only:activated
root,GA_signaling,,no_coverage,rewired,none
root,Glucosinolate biosynthesis,,no_coverage,rewired,none
root,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
root,Gravitropism,,no_coverage,rewired,none
root,Homologous recombination,,no_coverage,rewired,none
root,Hormone_transporters_ABCG,,no_coverage,rewired,none
root,Hormone_transporters_NPF,,no_coverage,rewired,none
root,Hub_transporter_core,,no_coverage,rewired,none
root,Mismatch repair,,no_coverage,rewired,none
root,Non-homologous end-joining,,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
root,Nucleotide excision repair,,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
root,Photoreceptors,,no_coverage,modestly_activated,µg_only:modestly_activated
root,Photosynthesis,,no_coverage,rewired,none
root,Photosynthesis - antenna proteins,,no_coverage,n.s.,none
root,Plant hormone signal transduction,,no_coverage,rewired,none
root,ROS_core_NMF,,modestly_activated,rewired,NMF_only:modestly_activated
root,ROS_scavenging,,modestly_activated,rewired,NMF_only:modestly_activated
root,Sugar_transporters_SWEET,,no_coverage,activated,µg_only:activated
shoot,ABA_biosynthesis,,no_coverage,n.s.,none
shoot,ABA_signaling,,no_coverage,n.s.,none
shoot,Auxin_transporters_ABCB,,no_coverage,n.s.,none
shoot,Auxin_transporters_AUX_LAX,,no_coverage,suppressed,µg_only:suppressed
shoot,Auxin_transporters_PIN,,no_coverage,suppressed,µg_only:suppressed
shoot,Base excision repair,,no_coverage,suppressed,µg_only:suppressed
shoot,Carbon fixation in photosynthetic organisms,,no_coverage,rewired,none
shoot,Circadian rhythm - plant,,no_coverage,rewired,none
shoot,Circadian_core,,no_coverage,activated,µg_only:activated
shoot,Diterpenoid biosynthesis (GA biosynthesis),,activated,suppressed,"divergent:µg,NMF"
shoot,Fanconi anemia pathway,,no_coverage,suppressed,µg_only:suppressed
shoot,GA_biosynthesis,,activated,suppressed,"divergent:µg,NMF"
shoot,GA_core_NMF,,activated,no_coverage,NMF_only:activated
shoot,GA_signaling,,no_coverage,rewired,none
shoot,Glucosinolate biosynthesis,,no_coverage,n.s.,none
shoot,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),,no_coverage,rewired,none
shoot,Gravitropism,,no_coverage,rewired,none
shoot,Homologous recombination,,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
shoot,Hormone_transporters_ABCG,,no_coverage,n.s.,none
shoot,Hormone_transporters_NPF,,no_coverage,suppressed,µg_only:suppressed
shoot,Hub_transporter_core,,no_coverage,activated,µg_only:activated
shoot,Mismatch repair,,no_coverage,suppressed,µg_only:suppressed
shoot,Non-homologous end-joining,,no_coverage,modestly_suppressed,µg_only:modestly_suppressed
shoot,Nucleotide excision repair,,no_coverage,rewired,none
shoot,Photoreceptors,,no_coverage,modestly_activated,µg_only:modestly_activated
shoot,Photosynthesis,,no_coverage,rewired,none
shoot,Photosynthesis - antenna proteins,,no_coverage,n.s.,none
