module_a,module_b,n_edges,n_pos,n_neg,pct_pos
hypocotyl,QC_rootcap,252,217,35,86.1
hypocotyl,vascular,209,77,132,36.8
vascular,QC_rootcap,204,94,110,46.1
QC_rootcap,QC_rootcap,149,132,17,88.6
vascular,vascular,145,87,58,60.0
hypocotyl,hypocotyl,112,99,13,88.4
hypocotyl,CRY_circadian,60,22,38,36.7
QC_rootcap,CRY_circadian,54,17,37,31.5
vascular,CRY_circadian,51,26,25,51.0
QC_rootcap,ROS,35,19,16,54.3
vascular,GA,33,22,11,66.7
hypocotyl,GA,30,14,16,46.7
QC_rootcap,GA,27,17,10,63.0
vascular,ABA,27,9,18,33.3
hypocotyl,ROS,25,16,9,64.0
hypocotyl,ABA,25,17,8,68.0
QC_rootcap,ABA,25,16,9,64.0
vascular,ROS,18,7,11,38.9
