tair_id,symbol_hint,modules,pathway_primary,atlas_celltype_primary,degree,mean_log2fc_OSD_dark,mean_log2fc_OSD_light
AT5G46900,,hypocotyl,non-panel,Han:Cortex_hypocotyl,30,-0.3781602787579173,2.606385622936152
AT5G62340,,QC_rootcap,non-panel,Liew_root_cap,30,-0.0390062502052059,2.31841037653967
AT5G65020,,QC_rootcap,non-panel,Liew_root_cap,30,-0.1839945493977053,0.244186043377992
AT4G30670,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,30,-0.3012076145162974,0.7334739740885516
AT4G30170,,hypocotyl,non-panel,Han:Cortex_hypocotyl,30,0.4273227680946034,1.8639263270708133
AT5G07220,,vascular,non-panel,Liew_xylem,30,0.1196606362049833,0.4837259487804775
AT5G23220,,hypocotyl,non-panel,Han:Cortex_hypocotyl,30,0.2365121996952814,3.791535956655628
AT2G45430,,QC_rootcap,non-panel,Liew_QC,30,-0.2360145336040772,1.4155680234177863
AT1G02810,,QC_rootcap,non-panel,Liew_QC,30,-0.0103263568012543,0.4109352329307723
AT1G79530,,QC_rootcap,Carbon fixation in photosynthetic organisms,Liew_QC,30,-0.2117360556723743,0.3246602540729303
AT1G69920,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,30,-0.1530693195371742,2.955383907235113
AT2G41800,,QC_rootcap,non-panel,Liew_QC,30,0.1191769007677384,1.408652243693138
AT2G43150,,hypocotyl,non-panel,Han:Cortex_hypocotyl,30,-0.2171093987728303,0.2217930673980057
AT2G25810,,QC_rootcap,non-panel,Liew_root_cap,30,-0.0027524142605933,0.8262465080684916
AT1G66270,,QC_rootcap,non-panel,Liew_root_cap,30,-0.059217722436457,1.3795211466137574
AT4G00080,,QC_rootcap,non-panel,Liew_root_cap,30,-0.2197907032172666,3.0301025027233064
AT1G54000,,QC_rootcap,non-panel,Liew_root_cap,30,-0.5267648430455304,1.3486373046707116
AT1G29025,,hypocotyl,non-panel,Han:Cortex_hypocotyl,30,0.1264655252181355,1.9808878611815568
AT5G41900,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,28,0.694303231879298,-0.2492931169788804
AT3G45610,,vascular,non-panel,Liew_provasculature,28,0.4468699615525376,0.4372288068412489
AT1G22740,,hypocotyl,non-panel,Han:Cortex_hypocotyl,28,0.0601347625918273,0.1791390492557186
AT3G21600,,vascular,non-panel,Liew_provasculature,28,-0.5233687620125247,-0.1715449745296746
AT3G43720,,QC_rootcap,non-panel,Liew_root_cap,28,0.1614375912713263,-0.3658815820229159
AT2G47650,,QC_rootcap,non-panel,Liew_root_cap,28,0.1049419899166293,0.0115450638626205
AT5G45280,,QC_rootcap,non-panel,Liew_root_cap,28,-0.217956267582275,-0.275568773406355
AT4G36710,,vascular,non-panel,Liew_provasculature,28,-0.3679262621606768,0.0073451714348238
AT1G17890,,QC_rootcap,non-panel,Liew_root_cap,28,0.1442993528055234,-0.079516944186866
