tissue,stressor,module,tier,tier_code,label,mean_log2fc,note
embryo,µg,ROS,Literature,T3,literature_only,,"Literature only: [12,15]"
embryo,µg,energy,Hypothesis,T4,not_assessable,,"embryo energy: no direct data, no literature anchor in current refs"
embryo,µg,photosynthesis,Hypothesis,T4,not_assessable,,"embryo photosynthesis: no direct data, no literature anchor in current refs"
embryo,µg,photorespiration,Hypothesis,T4,not_assessable,,"embryo photorespiration: no direct data, no literature anchor in current refs"
embryo,µg,carbon,Hypothesis,T4,not_assessable,,"embryo carbon: no direct data, no literature anchor in current refs"
embryo,µg,ABA,Literature,T3,literature_only,,"Literature only: [1,2,8]"
embryo,µg,GA,Literature,T3,literature_only,,"Literature only: [2,4,15]"
embryo,µg,hormone_transport,Hypothesis,T4,not_assessable,,"embryo hormone_transport: no direct data, no literature anchor in current refs"
embryo,GCR,ROS,Literature,T3,literature_only,,"Literature only: [12,15]"
embryo,GCR,energy,Hypothesis,T4,not_assessable,,"embryo energy: no direct data, no literature anchor in current refs"
embryo,GCR,photosynthesis,Hypothesis,T4,not_assessable,,"embryo photosynthesis: no direct data, no literature anchor in current refs"
embryo,GCR,photorespiration,Hypothesis,T4,not_assessable,,"embryo photorespiration: no direct data, no literature anchor in current refs"
embryo,GCR,carbon,Hypothesis,T4,not_assessable,,"embryo carbon: no direct data, no literature anchor in current refs"
embryo,GCR,ABA,Literature,T3,literature_only,,"Literature only: [1,2,8]"
embryo,GCR,GA,Literature,T3,literature_only,,"Literature only: [2,4,15]"
embryo,GCR,hormone_transport,Hypothesis,T4,not_assessable,,"embryo hormone_transport: no direct data, no literature anchor in current refs"
embryo,NMF,ROS,Literature,T3,literature_only,,"Literature only: [12,15]"
embryo,NMF,energy,Hypothesis,T4,not_assessable,,"embryo energy: no direct data, no literature anchor in current refs"
embryo,NMF,photosynthesis,Hypothesis,T4,not_assessable,,"embryo photosynthesis: no direct data, no literature anchor in current refs"
embryo,NMF,photorespiration,Hypothesis,T4,not_assessable,,"embryo photorespiration: no direct data, no literature anchor in current refs"
embryo,NMF,carbon,Hypothesis,T4,not_assessable,,"embryo carbon: no direct data, no literature anchor in current refs"
embryo,NMF,ABA,Literature,T3,literature_only,,"Literature only: [1,2,8]"
embryo,NMF,GA,Literature,T3,literature_only,,"Literature only: [2,4,15]"
embryo,NMF,hormone_transport,Hypothesis,T4,not_assessable,,"embryo hormone_transport: no direct data, no literature anchor in current refs"
endosperm,µg,ROS,Hypothesis,T4,not_assessable,,"endosperm ROS: no direct data, no literature anchor in current refs"
endosperm,µg,energy,Hypothesis,T4,not_assessable,,"endosperm energy: no direct data, no literature anchor in current refs"
endosperm,µg,photosynthesis,Hypothesis,T4,not_assessable,,"endosperm photosynthesis: no direct data, no literature anchor in current refs"
endosperm,µg,photorespiration,Hypothesis,T4,not_assessable,,"endosperm photorespiration: no direct data, no literature anchor in current refs"
endosperm,µg,carbon,Hypothesis,T4,not_assessable,,"endosperm carbon: no direct data, no literature anchor in current refs"
endosperm,µg,ABA,Literature,T3,literature_only,,"Literature only: [1,8]"
endosperm,µg,GA,Literature,T3,literature_only,,Literature only: [2]
endosperm,µg,hormone_transport,Hypothesis,T4,not_assessable,,"endosperm hormone_transport: no direct data, no literature anchor in current refs"
endosperm,GCR,ROS,Hypothesis,T4,not_assessable,,"endosperm ROS: no direct data, no literature anchor in current refs"
endosperm,GCR,energy,Hypothesis,T4,not_assessable,,"endosperm energy: no direct data, no literature anchor in current refs"
endosperm,GCR,photosynthesis,Hypothesis,T4,not_assessable,,"endosperm photosynthesis: no direct data, no literature anchor in current refs"
endosperm,GCR,photorespiration,Hypothesis,T4,not_assessable,,"endosperm photorespiration: no direct data, no literature anchor in current refs"
endosperm,GCR,carbon,Hypothesis,T4,not_assessable,,"endosperm carbon: no direct data, no literature anchor in current refs"
endosperm,GCR,ABA,Literature,T3,literature_only,,"Literature only: [1,8]"
endosperm,GCR,GA,Literature,T3,literature_only,,Literature only: [2]
endosperm,GCR,hormone_transport,Hypothesis,T4,not_assessable,,"endosperm hormone_transport: no direct data, no literature anchor in current refs"
endosperm,NMF,ROS,Hypothesis,T4,not_assessable,,"endosperm ROS: no direct data, no literature anchor in current refs"
endosperm,NMF,energy,Hypothesis,T4,not_assessable,,"endosperm energy: no direct data, no literature anchor in current refs"
endosperm,NMF,photosynthesis,Hypothesis,T4,not_assessable,,"endosperm photosynthesis: no direct data, no literature anchor in current refs"
endosperm,NMF,photorespiration,Hypothesis,T4,not_assessable,,"endosperm photorespiration: no direct data, no literature anchor in current refs"
endosperm,NMF,carbon,Hypothesis,T4,not_assessable,,"endosperm carbon: no direct data, no literature anchor in current refs"
endosperm,NMF,ABA,Literature,T3,literature_only,,"Literature only: [1,8]"
endosperm,NMF,GA,Literature,T3,literature_only,,Literature only: [2]
endosperm,NMF,hormone_transport,Hypothesis,T4,not_assessable,,"endosperm hormone_transport: no direct data, no literature anchor in current refs"
seed_coat,µg,ROS,Literature,T3,literature_only,,Literature only: [12]
seed_coat,µg,energy,Hypothesis,T4,not_assessable,,"seed_coat energy: no direct data, no literature anchor in current refs"
seed_coat,µg,photosynthesis,Hypothesis,T4,not_assessable,,"seed_coat photosynthesis: no direct data, no literature anchor in current refs"
seed_coat,µg,photorespiration,Hypothesis,T4,not_assessable,,"seed_coat photorespiration: no direct data, no literature anchor in current refs"
seed_coat,µg,carbon,Hypothesis,T4,not_assessable,,"seed_coat carbon: no direct data, no literature anchor in current refs"
seed_coat,µg,ABA,Hypothesis,T4,not_assessable,,"seed_coat ABA: no direct data, no literature anchor in current refs"
seed_coat,µg,GA,Hypothesis,T4,not_assessable,,"seed_coat GA: no direct data, no literature anchor in current refs"
seed_coat,µg,hormone_transport,Hypothesis,T4,not_assessable,,"seed_coat hormone_transport: no direct data, no literature anchor in current refs"
seed_coat,GCR,ROS,Literature,T3,literature_only,,Literature only: [12]
seed_coat,GCR,energy,Hypothesis,T4,not_assessable,,"seed_coat energy: no direct data, no literature anchor in current refs"
seed_coat,GCR,photosynthesis,Hypothesis,T4,not_assessable,,"seed_coat photosynthesis: no direct data, no literature anchor in current refs"
seed_coat,GCR,photorespiration,Hypothesis,T4,not_assessable,,"seed_coat photorespiration: no direct data, no literature anchor in current refs"
seed_coat,GCR,carbon,Hypothesis,T4,not_assessable,,"seed_coat carbon: no direct data, no literature anchor in current refs"
seed_coat,GCR,ABA,Hypothesis,T4,not_assessable,,"seed_coat ABA: no direct data, no literature anchor in current refs"
seed_coat,GCR,GA,Hypothesis,T4,not_assessable,,"seed_coat GA: no direct data, no literature anchor in current refs"
seed_coat,GCR,hormone_transport,Hypothesis,T4,not_assessable,,"seed_coat hormone_transport: no direct data, no literature anchor in current refs"
seed_coat,NMF,ROS,Literature,T3,literature_only,,Literature only: [12]
