cluster_letter,tair_id,subcellular,gene_code,gene_function
unassigned,AT1G01980,Chloroplast,"OGOX4, OLIGOGALACTURONIDE OXIDASE 4",FAD-binding domain-containing protein 
unassigned,AT1G02590,Cytoplasm,Aldehyde oxidase/xanthine dehydrogenase,"iron ion binding, oxidoreductase activity"
unassigned,AT1G03990,Unknown,Long-chain fatty alcohol dehydrogenase family protein,FAD-binding domain-containing protein 
unassigned,AT1G04580,Cytoplasm,"AAO4, ALDEHYDE OXIDASE 2",FAD-binding domain-containing protein 
A,AT1G05240,Extracellular,"PRX01, PATHOGENESIS RELATED 9, PR9, ",peroxidase family protein
A,AT1G05250,Extracellular,"PRX2, ATPRX1, PEROXIDASE 2 ",peroxidase family protein
A,AT1G05260,Extracellular,"PER3, PEROXIDASE 3",peroxidase family protein
C,AT1G07890,Chloroplast,"APX1, ASCORBATE PEROXIDASE 1","L-ascorbate peroxidase activity, heme binding, p-coumarate 3-hydroxylase activity, peroxidase activity,"
C,AT1G08830,Cytoplasm,"SOD1, COPPER/ZINC SUPEROXIDE DISMUTASE 1",superoxide dismutase [Cu-Zn] (SODCC) / copper/zinc superoxide dismutase (CSD1) identical to SWISS-PROT: P24704 [At1g08830.1]
B,AT1G11770,Chloroplast,"OGOX3, OLIGOGALACTURONIDE OXIDASE 3",FAD-binding domain-containing protein 
C,AT1G12520,Chloroplast,"CCS, COPPER CHAPERONE FOR SOD1","copper ion binding, superoxide dismutase copper chaperone activity"
unassigned,AT1G12570,Extracellular,IPE1 ortholog,FAD-binding domain-containing protein 
B,AT1G14430,Extracellular,"GOXL5, GALACTOSE OXIDASE-LIKE 5",glyoxal oxidase-related
unassigned,AT1G14540,Extracellular,"PER4, PEROXIDASE 4, PRX4",peroxidase family protein
unassigned,AT1G14550,Extracellular,Peroxidase superfamily protein,peroxidase family protein
unassigned,AT1G15020,Extracellular,"QSOX1, QUIESCIN-SULFHYDRYL OXIDASE 1"," flavin-linked sulfhydryl oxidase activity, protein disulfide isomerase activity, thiol oxidase activity"
unassigned,AT1G15550,Cytoplasm,"GA3OX1, GA4, GIBBERELLIN 3-OXIDASE 1","dioxygenase activity, gibberellin 3-beta-dioxygenase activity, protein binding, transcription factor binding"
unassigned,AT1G17010,Cytoplasm,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,dioxygenase activity
E,AT1G18490,Unknown,"PCO3, PLANT CYSTEINE OXIDASE 3","cysteine dioxygenase activity, iron ion binding"
A,AT1G19900,Extracellular,"RUBY, RUBY PARTICLES IN MUCILAGE",galactose oxidase activity
unassigned,AT1G20630,Cytoplasm,"CAT1, CATALASE 1","catalase activity, cobalt ion binding, heme binding, protein binding"
B,AT1G21850,Extracellular,"SKS8, SKU5 SIMILAR 8","copper ion binding, oxidoreductase activity"
A,AT1G21860,Extracellular,"SKS7, SKU5 SIMILAR 7","copper ion binding, oxidoreductase activity"
B,AT1G24110,Extracellular,Peroxidase superfamily protein,peroxidase family protein
unassigned,AT1G25460,Unknown,NAD(P)-binding Rossmann-fold superfamily protein,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
unassigned,AT1G26380,Cytoplasm,"ATBBE3, FOX1, FAD-LINKED OXIDOREDUCTASE 1",FAD-binding domain-containing protein 
C,AT1G26390,Cytoplasm,ATBBE4 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
C,AT1G26400,Cell wall,ATBBE5 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
C,AT1G26410,Cytoplasm,ATBBE6 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
B,AT1G28030,Cytoplasm,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,dioxygenase activity
unassigned,AT1G30700,Chloroplast,ATBBE8 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
unassigned,AT1G30710,Chloroplast,ATBBE9 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
unassigned,AT1G30720,Chloroplast,ATBBE10 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
unassigned,AT1G30730,Cytoplasm,ATBBE11 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
E,AT1G30740,Chloroplast,ATBBE12 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
unassigned,AT1G30760,Cytoplasm,"ATBBE-LIKE 13, BERBERINE BRIDGE ENZYME-LIKE 13",FAD-binding domain-containing protein 
A,AT1G30870,Extracellular,"PER7, PEROXIDASE7",peroxidase family protein
unassigned,AT1G31670,Extracellular,Copper amine oxidase family protein,"aminoacetone:oxygen oxidoreductase(deaminating) activity, copper ion binding,"
unassigned,AT1G31690,Chloroplast,"COPPER AMINE OXIDASE ALPHA 2, CUAOALPHA2","aliphatic amine oxidase activity, aminoacetone:oxygen oxidoreductase(deaminating) activity, copper ion binding,"
B,AT1G32300,Extracellular,"GULLO1, L -GULONO-1,4-LACTONE ( L -GULL) OXIDASE 1",FAD-binding domain-containing protein 
D,AT1G32350,Mitochondrion,"AOX1D, ALTERNATIVE OXIDASE 1D","alternative oxidase activity, superoxide-generating NADPH oxidase activity, ubiquinol:oxygen oxidoreductase activity"
B,AT1G32710,Mitochondrion,"Cytochrome c oxidase, subunit Vib family protein",cytochrome c oxidase subunit VIb family contains similarity to subunit 6b of cytochrome c oxidase [Arabidopsis thaliana] GI:6518353; contains Pfam profile PF02297: Cytochrome oxidase c subunit VIb [At1g32710.1]
A,AT1G33660,Unknown,peroxidase family protein,peroxidase family protein
A,AT1G34510,Extracellular,peroxidase family protein,peroxidase family protein
unassigned,AT1G34575,Chloroplast,ATBBE14 FAD-binding Berberine family protein,FAD-binding domain-containing protein 
unassigned,AT1G48130,Nucleus,"PER1, 1-CYSTEINE PEROXIREDOXIN 1",peroxidase family protein
A,AT1G48700,Mitochondrion,"CP5, CUPULIFORMIS5","oxidoreductase, 2OG-Fe(II) oxygenase"
A,AT1G49390,Cytoplasm,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,dioxygenase activity
A,AT1G49570,Extracellular,peroxidase family protein,peroxidase family protein
unassigned,AT1G50780,Unknown,2Fe-2S ferredoxin-like superfamily protein,"DNA-binding transcription factor activity, RNA polymerase II-specific"
