cluster_letter,n_genes,tissue,time,mean_ratio,mean_log2_ratio,median_ratio,median_log2_ratio
A,33,root,10min,0.9618,-0.089,1.0,0.0
A,33,root,1h,0.9906,-0.0438,0.99,-0.0145
A,33,root,2h,0.9564,-0.0831,0.97,-0.0439
A,33,root,4h,0.953,-0.0926,0.94,-0.0893
A,33,root,24h,1.0515,0.0353,1.01,0.0144
A,33,root,48h,0.8915,-0.2096,0.93,-0.1047
A,33,root,96h,0.9591,-0.0921,0.98,-0.0291
A,33,shoot,10min,1.1861,0.0567,1.06,0.0841
A,33,shoot,1h,1.7024,0.6392,1.41,0.4957
A,33,shoot,2h,1.2091,0.1897,1.13,0.1763
A,33,shoot,4h,1.7479,0.7359,1.74,0.7991
A,33,shoot,24h,1.0279,-0.0919,0.9,-0.152
A,33,shoot,48h,1.53,0.5101,1.32,0.4005
A,33,shoot,96h,1.4721,0.4504,1.31,0.3896
B,23,root,10min,2.4839,1.3009,2.37,1.2449
B,23,root,1h,2.007,0.9939,1.99,0.9928
B,23,root,2h,2.1009,1.0652,2.14,1.0976
B,23,root,4h,1.9904,0.969,2.09,1.0635
B,23,root,24h,1.8391,0.854,1.89,0.9184
B,23,root,48h,1.9357,0.935,2.01,1.0072
B,23,root,96h,1.8409,0.8497,1.9,0.926
B,23,shoot,10min,2.2461,1.1583,2.26,1.1763
B,23,shoot,1h,2.1357,1.094,2.13,1.0909
B,23,shoot,2h,2.2565,1.1723,2.26,1.1763
B,23,shoot,4h,2.0117,1.0052,2.05,1.0356
B,23,shoot,24h,2.2609,1.1691,2.2,1.1375
B,23,shoot,48h,2.5783,1.3623,2.62,1.3896
B,23,shoot,96h,2.5239,1.3219,2.55,1.3505
C,11,root,10min,1.2518,0.099,1.01,0.0144
C,11,root,1h,1.2945,0.3114,1.11,0.1506
C,11,root,2h,1.12,0.1213,1.01,0.0144
C,11,root,4h,1.0318,-0.0418,0.94,-0.0893
C,11,root,24h,1.1173,0.0796,1.01,0.0144
C,11,root,48h,1.1655,0.1612,0.97,-0.0439
C,11,root,96h,1.0973,0.0861,1.05,0.0704
C,11,shoot,10min,1.7691,0.4521,1.08,0.111
C,11,shoot,1h,1.2673,0.242,1.07,0.0976
C,11,shoot,2h,1.0445,-0.0067,0.92,-0.1203
C,11,shoot,4h,1.1618,0.1223,0.97,-0.0439
C,11,shoot,24h,2.2609,0.9432,1.47,0.5558
C,11,shoot,48h,1.0891,0.0678,0.98,-0.0291
C,11,shoot,96h,0.9055,-0.2553,0.91,-0.1361
D,14,root,10min,1.2257,0.1948,1.01,0.0144
D,14,root,1h,1.1393,0.0793,1.035,0.0496
D,14,root,2h,1.2929,0.2373,1.01,0.0143
D,14,root,4h,1.3221,0.2471,1.205,0.2669
D,14,root,24h,1.385,0.3766,1.275,0.3424
D,14,root,48h,1.4043,0.3514,1.13,0.1758
D,14,root,96h,1.27,0.2795,1.13,0.1763
D,14,shoot,10min,1.3971,0.2657,1.165,0.2203
D,14,shoot,1h,1.4614,0.4284,1.475,0.5527
D,14,shoot,2h,1.3536,0.2449,1.035,0.0492
D,14,shoot,4h,1.3129,0.2683,1.025,0.0348
D,14,shoot,24h,1.195,0.0727,1.015,0.0206
D,14,shoot,48h,2.3186,1.0415,2.11,1.0437
D,14,shoot,96h,1.57,0.5657,1.325,0.4023
E,8,root,10min,1.5625,0.517,1.205,0.2624
E,8,root,1h,1.4675,0.496,1.32,0.399
E,8,root,2h,1.5812,0.5941,1.385,0.4488
E,8,root,4h,1.585,0.5534,1.32,0.3979
E,8,root,24h,1.475,0.5225,1.265,0.3378
E,8,root,48h,1.4175,0.4101,1.24,0.3073
E,8,root,96h,1.36,0.3771,1.12,0.1621
E,8,shoot,10min,1.4113,0.3613,1.06,0.0799
E,8,shoot,1h,1.4562,0.4235,1.13,0.1758
E,8,shoot,2h,1.4875,0.4833,1.17,0.2263
E,8,shoot,4h,1.4888,0.5125,1.33,0.41
E,8,shoot,24h,0.9488,-0.1658,0.825,-0.2807
E,8,shoot,48h,1.4712,0.4219,1.075,0.1017
E,8,shoot,96h,1.2825,0.3145,1.165,0.2202
unassigned,105,root,10min,1.2254,0.1776,1.06,0.0841
unassigned,105,root,1h,1.2802,0.2276,1.06,0.0841
unassigned,105,root,2h,1.2963,0.2771,1.1,0.1375
unassigned,105,root,4h,1.3154,0.2944,1.12,0.1635
unassigned,105,root,24h,1.246,0.2351,1.05,0.0704
unassigned,105,root,48h,1.2999,0.2887,1.09,0.1243
unassigned,105,root,96h,1.255,0.217,1.08,0.111
unassigned,105,shoot,10min,1.2379,0.163,1.05,0.0704
unassigned,105,shoot,1h,1.2283,0.1811,1.02,0.0286
unassigned,105,shoot,2h,1.343,0.3008,1.13,0.1763
unassigned,105,shoot,4h,1.2677,0.2483,1.12,0.1635
unassigned,105,shoot,24h,1.34,0.2833,1.12,0.1635
unassigned,105,shoot,48h,1.3217,0.28,1.12,0.1635
unassigned,105,shoot,96h,1.3357,0.2284,1.04,0.0566
