tair_id,gene_code,subcellular,tissue,time,ratio,log2_ratio
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,root,4h,0.9521,-0.0708
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,root,24h,1.1311,0.1777
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,root,48h,0.9719,-0.0411
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,root,96h,1.0125,0.0179
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,shoot,4h,1.8634,0.8979
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,shoot,24h,0.9222,-0.1168
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,shoot,48h,1.4418,0.5279
AT1G05240,"PRX01,PATHOGENESISRELATED9,PR9,",Extracellular,shoot,96h,2.3275,1.2188
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,root,4h,0.8621,-0.2141
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,root,24h,1.0113,0.0162
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,root,48h,0.8316,-0.266
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,root,96h,0.9828,-0.025
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,shoot,4h,2.8393,1.5055
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,shoot,24h,0.6717,-0.5741
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,shoot,48h,1.2319,0.3009
AT1G05250,"PRX2,PEROXIDASE2",Extracellular,shoot,96h,2.1856,1.128
AT1G05260,"PER3,PEROXIDASE3",Extracellular,root,4h,1.1905,0.2516
AT1G05260,"PER3,PEROXIDASE3",Extracellular,root,24h,1.201,0.2642
AT1G05260,"PER3,PEROXIDASE3",Extracellular,root,48h,1.0911,0.1258
AT1G05260,"PER3,PEROXIDASE3",Extracellular,root,96h,1.2115,0.2768
