tair_id,gene_name,tissue,time,ratio,log2_ratio
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,4h,1.15,0.2016
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,24h,0.8,-0.3219
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,48h,1.32,0.4005
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,96h,1.75,0.8074
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,4h,0.87,-0.2009
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,24h,1.26,0.3334
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,48h,0.61,-0.7131
AT5G65550,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,96h,1.86,0.8953
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",root,4h,1.3,0.3785
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",root,24h,1.07,0.0976
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",root,48h,2.12,1.0841
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",root,96h,2.07,1.0496
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",shoot,4h,1.44,0.5261
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",shoot,24h,0.91,-0.1361
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",shoot,48h,0.81,-0.304
AT1G66390,"ATMYB90, MYB DOMAIN PROTEIN 90, MYB90, PAP2, PRODUCTION OF ANTHOCYANIN PIGMENT 2",shoot,96h,3.09,1.6276
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",root,4h,0.94,-0.0893
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",root,24h,0.91,-0.1361
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",root,48h,0.88,-0.1844
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",root,96h,0.87,-0.2009
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",shoot,4h,1.62,0.696
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",shoot,24h,1.57,0.6508
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",shoot,48h,0.84,-0.2515
AT5G63580,"ATFLS2, FLAVONOL SYNTHASE 2, FLS2",shoot,96h,0.95,-0.074
AT4G35420,"DIHYDROFLAVONOL 4-REDUCTASE-LIKE1, DRL1, TETRAKETIDE ALPHA-PYRONE REDUCTASE 1, TKPR1",root,4h,0.92,-0.1203
AT4G35420,"DIHYDROFLAVONOL 4-REDUCTASE-LIKE1, DRL1, TETRAKETIDE ALPHA-PYRONE REDUCTASE 1, TKPR1",root,24h,0.93,-0.1047
AT4G35420,"DIHYDROFLAVONOL 4-REDUCTASE-LIKE1, DRL1, TETRAKETIDE ALPHA-PYRONE REDUCTASE 1, TKPR1",root,48h,0.95,-0.074
AT4G35420,"DIHYDROFLAVONOL 4-REDUCTASE-LIKE1, DRL1, TETRAKETIDE ALPHA-PYRONE REDUCTASE 1, TKPR1",root,96h,1.11,0.1506
