pathway_name,contrast,tissue,time,n_genes,mean_log2fc,median_log2fc,frac_up
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_10min,root,10min,6,0.5193,0.5824,0.5
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_1h,root,1h,6,0.5367,0.6398,0.833
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_2h,root,2h,6,0.4244,0.3995,0.833
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_4h,root,4h,6,0.4997,0.4383,0.833
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_24h,root,24h,6,0.1419,-0.0113,0.5
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_48h,root,48h,6,0.3669,0.0615,0.5
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_96h,root,96h,6,0.2295,0.1024,0.667
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_10min,shoot,10min,6,0.4735,0.459,0.833
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_1h,shoot,1h,6,0.6536,0.7466,0.833
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_2h,shoot,2h,6,0.4373,0.6406,0.667
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_4h,shoot,4h,6,0.2231,0.5137,0.667
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_24h,shoot,24h,6,0.5896,0.7912,0.667
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_48h,shoot,48h,6,0.825,0.8997,1.0
Diterpenoid biosynthesis (GA biosynthesis),NMF_vs_GMF_96h,shoot,96h,6,0.7452,0.9672,0.833
GA_biosynthesis,NMF_vs_GMF_10min,root,10min,5,0.3612,-0.074,0.4
GA_biosynthesis,NMF_vs_GMF_1h,root,1h,5,0.4383,0.251,0.8
GA_biosynthesis,NMF_vs_GMF_2h,root,2h,5,0.2752,0.2141,0.8
GA_biosynthesis,NMF_vs_GMF_4h,root,4h,5,0.347,0.433,0.8
GA_biosynthesis,NMF_vs_GMF_24h,root,24h,5,-0.0254,-0.1203,0.4
GA_biosynthesis,NMF_vs_GMF_48h,root,48h,5,0.1771,-0.0145,0.4
GA_biosynthesis,NMF_vs_GMF_96h,root,96h,5,0.074,0.0286,0.6
GA_biosynthesis,NMF_vs_GMF_10min,shoot,10min,5,0.3876,0.4222,0.8
GA_biosynthesis,NMF_vs_GMF_1h,shoot,1h,5,0.5786,0.4647,0.8
GA_biosynthesis,NMF_vs_GMF_2h,shoot,2h,5,0.2972,0.1635,0.6
GA_biosynthesis,NMF_vs_GMF_4h,shoot,4h,5,0.0871,0.1243,0.6
GA_biosynthesis,NMF_vs_GMF_24h,shoot,24h,5,0.434,0.4647,0.6
GA_biosynthesis,NMF_vs_GMF_48h,shoot,48h,5,0.7088,0.6041,1.0
GA_biosynthesis,NMF_vs_GMF_96h,shoot,96h,5,0.7215,1.0704,0.8
ROS_core_NMF,NMF_vs_GMF_10min,root,10min,9,0.1842,0.0144,0.667
ROS_core_NMF,NMF_vs_GMF_1h,root,1h,9,0.183,0.0426,0.667
ROS_core_NMF,NMF_vs_GMF_2h,root,2h,9,0.2263,0.0144,0.556
ROS_core_NMF,NMF_vs_GMF_4h,root,4h,9,0.1426,-0.0439,0.333
ROS_core_NMF,NMF_vs_GMF_24h,root,24h,9,0.0309,0.0144,0.556
ROS_core_NMF,NMF_vs_GMF_48h,root,48h,9,0.162,-0.0439,0.333
ROS_core_NMF,NMF_vs_GMF_96h,root,96h,9,0.2356,0.0704,0.667
ROS_core_NMF,NMF_vs_GMF_10min,shoot,10min,9,0.2365,0.0144,0.556
ROS_core_NMF,NMF_vs_GMF_1h,shoot,1h,9,0.2569,0.0286,0.556
ROS_core_NMF,NMF_vs_GMF_2h,shoot,2h,9,0.2073,-0.0439,0.444
ROS_core_NMF,NMF_vs_GMF_4h,shoot,4h,9,0.4253,0.263,0.667
ROS_core_NMF,NMF_vs_GMF_24h,shoot,24h,9,0.1388,0.2265,0.556
ROS_core_NMF,NMF_vs_GMF_48h,shoot,48h,9,0.2135,-0.0291,0.444
ROS_core_NMF,NMF_vs_GMF_96h,shoot,96h,9,0.0694,-0.0589,0.333
ROS_scavenging,NMF_vs_GMF_10min,root,10min,10,0.0921,0.0144,0.6
ROS_scavenging,NMF_vs_GMF_1h,root,1h,10,0.081,0.0356,0.6
ROS_scavenging,NMF_vs_GMF_2h,root,2h,10,0.13,0.0072,0.5
ROS_scavenging,NMF_vs_GMF_4h,root,4h,10,0.083,-0.0743,0.3
ROS_scavenging,NMF_vs_GMF_24h,root,24h,10,0.0044,0.0072,0.5
ROS_scavenging,NMF_vs_GMF_48h,root,48h,10,0.0136,-0.0514,0.3
ROS_scavenging,NMF_vs_GMF_96h,root,96h,10,0.1205,0.0495,0.6
ROS_scavenging,NMF_vs_GMF_10min,shoot,10min,10,0.1266,-0.0298,0.5
ROS_scavenging,NMF_vs_GMF_1h,shoot,1h,10,0.2061,0.007,0.5
ROS_scavenging,NMF_vs_GMF_2h,shoot,2h,10,0.2129,0.0335,0.5
ROS_scavenging,NMF_vs_GMF_4h,shoot,4h,10,0.3708,0.1387,0.6
ROS_scavenging,NMF_vs_GMF_24h,shoot,24h,10,0.1594,0.2508,0.6
ROS_scavenging,NMF_vs_GMF_48h,shoot,48h,10,0.1653,-0.044,0.4
ROS_scavenging,NMF_vs_GMF_96h,shoot,96h,10,0.0266,-0.1726,0.3
