condition,study,contrast,tissue,light,pathway_id,pathway_name,source,n_panel_genes,n_measured,mean_log2fc,mean_abs_log2fc,singscore,frac_up,frac_dn,sign_consistency,n_measured_w_padj,n_padj_lt_05,frac_padj_lt_05
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ABA_biosynthesis,ABA_biosynthesis,Curated,8,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ABA_signaling,ABA_signaling,Curated,16,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Auxin_transporters_ABCB,Auxin_transporters_ABCB,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Auxin_transporters_AUX_LAX,Auxin_transporters_AUX_LAX,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Auxin_transporters_PIN,Auxin_transporters_PIN,Curated,7,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Circadian_core,Circadian_core,User_core,14,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,GA_biosynthesis,GA_biosynthesis,Curated,17,5,0.3611510227536235,0.6347483504945106,-0.0551546391752577,0.4,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,GA_core_NMF,GA_core_NMF,User_core,3,3,0.268777435743621,0.5570804706477899,-0.1022336769759449,0.3333333333333333,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,GA_signaling,GA_signaling,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Gravitropism,Gravitropism,Curated,9,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Hormone_transporters_ABCG,Hormone_transporters_ABCG,Curated,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Hormone_transporters_NPF,Hormone_transporters_NPF,Curated,6,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Hub_transporter_core,Hub_transporter_core,User_core,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Photoreceptors,Photoreceptors,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ROS_core_NMF,ROS_core_NMF,User_core,10,9,0.1842209619528712,0.3598236907980074,-0.0529782359679266,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ROS_scavenging,ROS_scavenging,Curated,24,10,0.0921023063409634,0.3975378811348274,-0.0925257731958763,0.2,0.2,0.5,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,Sugar_transporters_SWEET,Sugar_transporters_SWEET,Curated,11,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00195,Photosynthesis,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00196,Photosynthesis - antenna proteins,KEGG,22,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00630,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),KEGG,80,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00710,Carbon fixation in photosynthetic organisms,KEGG,70,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00904,Diterpenoid biosynthesis (GA biosynthesis),KEGG,25,6,0.5193492057300446,0.7473469788474506,0.0262027491408934,0.5,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath00966,Glucosinolate biosynthesis,KEGG,26,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03410,Base excision repair,KEGG,50,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03420,Nucleotide excision repair,KEGG,85,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03430,Mismatch repair,KEGG,32,0,,,,,,,,,
