source,target,rho,sign,n_overlap,p_emp_perm,source_is_hub,target_is_hub,source_is_hub_han,source_is_hub_liew,target_is_hub_han,target_is_hub_liew,support_tier
AT1G01060,AT1G28290,-1.0,-,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G01060,AT3G20470,-1.0,-,6,0.00699300691485405,False,True,False,False,True,True,n6
AT1G01360,AT2G48090,1.0,+,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G01360,AT3G51600,-1.0,-,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G01360,AT4G27435,1.0,+,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G02205,AT1G04180,-1.0,-,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G02205,AT4G13770,-1.0,-,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G02205,AT4G18130,-1.0,-,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G02205,AT4G23980,-1.0,-,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G02400,AT3G59010,-1.0,-,6,0.00699300691485405,False,True,False,False,True,False,n6
AT1G02810,AT1G29025,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT1G48360,-1.0,-,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT1G54000,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT1G64060,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT1G66270,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT1G69920,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT1G79530,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT2G25810,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT2G36270,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT2G41800,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT2G43150,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT2G45430,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT2G46370,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT3G14130,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT3G23240,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT3G54660,-1.0,-,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT4G00080,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT4G18360,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT4G30170,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT4G30670,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT4G33010,-1.0,-,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT5G07220,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT5G13370,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT5G23220,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT5G46900,1.0,+,6,0.00699300691485405,True,True,False,True,True,False,n6
AT1G02810,AT5G47435,-1.0,-,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT5G53190,1.0,+,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G02810,AT5G62340,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT5G65020,1.0,+,6,0.00699300691485405,True,True,False,True,False,True,n6
AT1G02810,AT5G66190,-1.0,-,6,0.00699300691485405,True,False,False,True,False,False,n6
AT1G03130,AT5G23420,1.0,+,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G03130,AT5G60980,-1.0,-,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G03190,AT5G57785,-1.0,-,6,0.00699300691485405,False,True,False,False,True,False,n6
AT1G03430,AT3G22310,-1.0,-,6,0.00699300691485405,False,True,False,False,False,True,n6
AT1G03445,AT3G09940,1.0,+,6,0.00699300691485405,False,True,False,False,True,False,n6
AT1G03600,AT3G19010,1.0,+,6,0.00699300691485405,False,True,False,False,True,False,n6
AT1G03850,AT1G74890,1.0,+,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G03850,AT3G29350,1.0,+,6,0.00699300691485405,True,False,True,False,False,False,n6
AT1G03850,AT3G52090,1.0,+,6,0.00699300691485405,True,False,True,False,False,False,n6
