tair_id,symbol_hint,is_panel,is_hub_han,is_hub_liew,atlas_celltype_primary,pathway_primary,mean_log2fc_OSD_dark,mean_log2fc_OSD_light,degree,weighted_degree,betweenness
AT5G46900,,False,True,False,Han:Cortex_hypocotyl,non-panel,-0.3781602787579173,2.606385622936152,30,30.0,6.5361843163754555e-06
AT5G62340,,False,False,True,Liew_root_cap,non-panel,-0.03900625020520598,2.31841037653967,30,30.0,6.5361843163754555e-06
AT5G65020,,False,False,True,Liew_root_cap,non-panel,-0.18399454939770532,0.24418604337799202,30,30.0,6.5361843163754555e-06
AT4G30670,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-0.30120761451629746,0.7334739740885516,30,30.0,6.5361843163754555e-06
AT4G30170,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.4273227680946034,1.8639263270708135,30,30.0,6.5361843163754555e-06
AT5G07220,,False,False,True,Liew_xylem,non-panel,0.11966063620498334,0.48372594878047753,30,30.0,6.5361843163754555e-06
AT5G23220,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.2365121996952814,3.7915359566556277,30,30.0,6.5361843163754555e-06
AT2G45430,,False,False,True,Liew_QC,non-panel,-0.23601453360407723,1.4155680234177863,30,30.0,6.5361843163754555e-06
AT1G02810,,False,False,True,Liew_QC,non-panel,-0.010326356801254303,0.41093523293077233,30,30.0,6.5361843163754555e-06
AT1G79530,,True,False,True,Liew_QC,Carbon fixation in photosynthetic organisms,-0.21173605567237433,0.3246602540729303,30,30.0,6.5361843163754555e-06
AT1G69920,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-0.15306931953717426,2.955383907235113,30,30.0,6.5361843163754555e-06
AT2G41800,,False,False,True,Liew_QC,non-panel,0.11917690076773842,1.408652243693138,30,30.0,6.5361843163754555e-06
AT2G43150,,False,True,False,Han:Cortex_hypocotyl,non-panel,-0.2171093987728303,0.22179306739800575,30,30.0,6.5361843163754555e-06
AT2G25810,,False,False,True,Liew_root_cap,non-panel,-0.002752414260593324,0.8262465080684916,30,30.0,6.5361843163754555e-06
AT1G66270,,False,False,True,Liew_root_cap,non-panel,-0.059217722436457065,1.3795211466137574,30,30.0,6.5361843163754555e-06
AT4G00080,,False,False,True,Liew_root_cap,non-panel,-0.21979070321726665,3.0301025027233064,30,30.0,6.5361843163754555e-06
AT1G54000,,False,False,True,Liew_root_cap,non-panel,-0.5267648430455304,1.3486373046707116,30,30.0,6.5361843163754555e-06
AT1G29025,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.1264655252181355,1.9808878611815566,30,30.0,6.5361843163754555e-06
AT5G41900,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,0.694303231879298,-0.24929311697888046,28,28.0,5.855947939558101e-06
AT3G45610,,False,False,True,Liew_provasculature,non-panel,0.4468699615525376,0.43722880684124893,28,28.0,5.855947939558101e-06
