tissue,stressor,pathway,mean_log2fc,median_log2fc,sign_concordance,n_contrasts,n_pos,n_neg,n_panel_genes,n_measured,label,robust_modest_sign
root,NMF,ABA_biosynthesis,,,0.0,7.0,0.0,0.0,8.0,1.0,no_coverage,False
root,NMF,ABA_signaling,,,0.0,7.0,0.0,0.0,16.0,0.0,no_coverage,False
root,NMF,Auxin_transporters_ABCB,,,0.0,7.0,0.0,0.0,3.0,0.0,no_coverage,False
root,NMF,Auxin_transporters_AUX_LAX,,,0.0,7.0,0.0,0.0,3.0,0.0,no_coverage,False
root,NMF,Auxin_transporters_PIN,,,0.0,7.0,0.0,0.0,7.0,0.0,no_coverage,False
root,NMF,Base excision repair,,,0.0,7.0,0.0,0.0,50.0,0.0,no_coverage,False
root,NMF,Carbon fixation in photosynthetic organisms,,,0.0,7.0,0.0,0.0,70.0,0.0,no_coverage,False
root,NMF,Circadian rhythm - plant,,,0.0,7.0,0.0,0.0,43.0,0.0,no_coverage,False
root,NMF,Circadian_core,,,0.0,7.0,0.0,0.0,14.0,0.0,no_coverage,False
root,NMF,Diterpenoid biosynthesis (GA biosynthesis),0.3883,0.4244,1.0,7.0,7.0,0.0,25.0,6.0,activated,False
root,NMF,Fanconi anemia pathway,,,0.0,7.0,0.0,0.0,46.0,0.0,no_coverage,False
root,NMF,GA_biosynthesis,0.2353,0.2752,0.857,7.0,6.0,1.0,17.0,5.0,modestly_activated,True
root,NMF,GA_core_NMF,0.3291,0.3011,1.0,7.0,7.0,0.0,3.0,3.0,activated,False
root,NMF,GA_signaling,,,0.0,7.0,0.0,0.0,10.0,0.0,no_coverage,False
root,NMF,Glucosinolate biosynthesis,,,0.0,7.0,0.0,0.0,26.0,0.0,no_coverage,False
root,NMF,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),,,0.0,7.0,0.0,0.0,80.0,1.0,no_coverage,False
root,NMF,Gravitropism,,,0.0,7.0,0.0,0.0,9.0,0.0,no_coverage,False
root,NMF,Homologous recombination,,,0.0,7.0,0.0,0.0,60.0,0.0,no_coverage,False
root,NMF,Hormone_transporters_ABCG,,,0.0,7.0,0.0,0.0,5.0,0.0,no_coverage,False
root,NMF,Hormone_transporters_NPF,,,0.0,7.0,0.0,0.0,6.0,0.0,no_coverage,False
root,NMF,Hub_transporter_core,,,0.0,7.0,0.0,0.0,5.0,0.0,no_coverage,False
root,NMF,Mismatch repair,,,0.0,7.0,0.0,0.0,32.0,0.0,no_coverage,False
root,NMF,Non-homologous end-joining,,,0.0,7.0,0.0,0.0,8.0,0.0,no_coverage,False
root,NMF,Nucleotide excision repair,,,0.0,7.0,0.0,0.0,85.0,0.0,no_coverage,False
root,NMF,Photoreceptors,,,0.0,7.0,0.0,0.0,10.0,0.0,no_coverage,False
root,NMF,Photosynthesis,,,0.0,7.0,0.0,0.0,46.0,0.0,no_coverage,False
root,NMF,Photosynthesis - antenna proteins,,,0.0,7.0,0.0,0.0,22.0,0.0,no_coverage,False
root,NMF,Plant hormone signal transduction,,,0.0,7.0,0.0,0.0,433.0,0.0,no_coverage,False
root,NMF,ROS_core_NMF,0.1664,0.183,1.0,7.0,7.0,0.0,10.0,9.0,modestly_activated,True
root,NMF,ROS_scavenging,0.0749,0.083,1.0,7.0,7.0,0.0,24.0,10.0,modestly_activated,True
root,NMF,Sugar_transporters_SWEET,,,0.0,7.0,0.0,0.0,11.0,0.0,no_coverage,False
