vulnerability_rank,celltype_group,tissue_target,atlas,mean_abs_singscore,max_abs_singscore,n_conditions,n_fdr_sig,µg_mean_singscore,GCR_mean_singscore
1,DCM_root,root,Han2023,0.23956752037036008,0.3457516569083587,6,5,-0.19546765213498324,-0.32776725684111374
2,CotyledonCell_root,root,Han2023,0.2193957193160104,0.3800494099391563,6,6,-0.04686013068607775,-0.032013932726124954
3,Xylem_root,vascular,Han2023,0.1776684206784739,0.3286766430738119,6,5,-0.18266628418751882,-0.16767269366038415
4,Vasculature_shoot,vascular,Han2023,0.16842842533837388,0.3170842192457836,6,5,-0.12049865086975506,-0.2376637756558231
5,Atrichoblast_root,root,Han2023,0.16698579595525517,0.3579450142038615,6,5,0.08196303400630656,-0.07327295603966175
6,Trichoblast_root,root,Han2023,0.16484898462113093,0.3893159447803387,6,5,0.06697291029069691,-0.0975549854849448
7,Pericycle_root,root,Han2023,0.16058511878953177,0.2395820182162503,6,5,-0.0359188562259275,-0.21827058346108755
8,Phloem_root,vascular,Han2023,0.15666660374283703,0.3008446446262422,6,5,-0.06380987245294578,-0.1722397724533045
9,Liew_root_cap,root,Liew2024,0.1550229109154205,0.2828238624873609,6,6,0.04213532249534374,-0.13070049291707514
10,Liew_mesophyll,shoot,Liew2024,0.1517851690674874,0.271333660010617,6,4,-0.05580917641830439,-0.02256331007796425
11,InitialCell_root,meristematic,Han2023,0.15049399039524128,0.3373903353387527,6,2,-0.0609664894661823,-0.30838475709519086
12,Liew_xylem,vascular,Liew2024,0.1437194596659053,0.1894487851211815,6,5,-0.13905662899120283,-0.15304512101531026
13,Endodermis_shoot,shoot,Han2023,0.12993246454839985,0.2966594106616157,6,5,0.015362672166334267,0.052681007079087405
14,Procambium_root,meristematic,Han2023,0.12801346351272574,0.2423053589484327,6,5,-0.1266539247095099,-0.12100170247884194
15,Liew_provasculature,vascular,Liew2024,0.12779956003142826,0.2327831611711429,6,6,-0.014286259028730229,-0.16152279634410616
16,Cortex_root,root,Han2023,0.12015754899364257,0.2466323102514759,6,4,0.061217807471191474,-0.057495221943279995
17,Mesophyll_shoot,shoot,Han2023,0.10563095818623647,0.2380795459185757,6,4,-0.00598801383412495,-0.0627148525565876
18,E.hypocotyl_epidermis_shoot,hypocotyl,Han2023,0.10117277544706708,0.2658596252863067,6,3,-0.03990865244827975,-0.06250471601752784
19,LRC_root,root,Han2023,0.09844900214329178,0.1747940141387928,6,4,0.049578394423113674,0.0034820542880331998
20,DCS_root,root,Han2023,0.09773516665033176,0.1963256230069901,6,1,-0.08023169430198007,-0.1327421113470351
21,Endodermis_root,root,Han2023,0.09641758282233799,0.2613695945118216,6,3,-0.004530181822415831,0.01637144280755065
22,Liew_precursor_of_cortex_endodermis,meristematic,Liew2024,0.0911694979341958,0.1849022009881987,6,3,-0.009853397864896432,-0.06823203174316886
23,Cortex_hypocotyl_shoot,hypocotyl,Han2023,0.0878723304593048,0.1487995644396049,6,3,0.022938662168536902,0.0072056078162708
24,Liew_epidermis,shoot,Liew2024,0.07950408796132037,0.1864709678807306,6,3,-0.004215484495474427,-0.030638702977688448
25,SAM_shoot,meristematic,Han2023,0.07622369335350068,0.1647528822464508,6,3,0.04076907848461655,-0.02442134848348215
26,Liew_QC,meristematic,Liew2024,0.07238283986037732,0.1120069601156905,6,4,-0.004259672041589774,-0.09533299579416049
27,Liew_cortex,shoot,Liew2024,0.07165652126745908,0.157396167563998,6,2,-0.0032876183969697687,0.030707025347788998
28,E.cotyledon_epidermis_shoot,shoot,Han2023,0.06936351164249355,0.1353218739467475,6,3,0.03856394662979783,-0.0557212102083145
29,Columella_root,root,Han2023,0.051438512010712846,0.0714866903319423,6,0,-0.00306033927168665,-0.06631674304593405
30,Liew_stele,vascular,Liew2024,0.04820975191027533,0.0845742986647065,6,3,0.016631162677979126,-0.07364427938871075
